Harga Pangan di Tingkat Produsen Provinsi,,,,,
,,,,,
Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
62,Kalimantan Tengah,Beras Premium Tingkat Penggilingan,2023,Januari,Rp13.518
63,Kalimantan Selatan,Beras Premium Tingkat Penggilingan,2023,Januari,Rp14.722
71,Sulawesi Utara,Beras Premium Tingkat Penggilingan,2023,Januari,-
72,Sulawesi Tengah,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.000
73,Sulawesi Selatan,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.299
74,Sulawesi Tenggara,Beras Premium Tingkat Penggilingan,2023,Januari,Rp10.503
75,Gorontalo,Beras Premium Tingkat Penggilingan,2023,Januari,-
76,Sulawesi Barat,Beras Premium Tingkat Penggilingan,2023,Januari,-
11,Aceh,Jagung Pipilan Kering Tingkat Petani,2023,Januari,-
12,Sumatera Utara,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.374
13,Sumatera Barat,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.715
14,Riau,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.881
15,Jambi,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.276
16,Sumatera Selatan,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.048
17,Bengkulu,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.123
18,Lampung,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.684
32,Jawa Barat,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.412
33,Jawa Tengah,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.323
34,D.I Yogyakarta,Jagung Pipilan Kering Tingkat Petani,2023,Januari,-
35,Jawa Timur,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.264
36,Banten,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp5.500
51,Bali,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.866
52,Nusa Tenggara Barat,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.849
53,Nusa Tenggara Timur,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.385
61,Kalimantan Barat,Jagung Pipilan Kering Tingkat Petani,2023,Januari,-
62,Kalimantan Tengah,Jagung Pipilan Kering Tingkat Petani,2023,Januari,-
63,Kalimantan Selatan,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.726
71,Sulawesi Utara,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp4.030
72,Sulawesi Tengah,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.829
73,Sulawesi Selatan,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.610
74,Sulawesi Tenggara,Jagung Pipilan Kering Tingkat Petani,2023,Januari,-
75,Gorontalo,Jagung Pipilan Kering Tingkat Petani,2023,Januari,Rp3.760
76,Sulawesi Barat,Jagung Pipilan Kering Tingkat Petani,2023,Januari,-
11,Aceh,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
12,Sumatera Utara,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
13,Sumatera Barat,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
14,Riau,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
15,Jambi,Kedelai Biji Kering Tingkat Petani,2023,Januari,Rp11.000
16,Sumatera Selatan,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
17,Bengkulu,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
18,Lampung,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
32,Jawa Barat,Kedelai Biji Kering Tingkat Petani,2023,Januari,Rp9.888
33,Jawa Tengah,Kedelai Biji Kering Tingkat Petani,2023,Januari,Rp10.505
34,D.I Yogyakarta,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
35,Jawa Timur,Kedelai Biji Kering Tingkat Petani,2023,Januari,Rp10.006
36,Banten,Kedelai Biji Kering Tingkat Petani,2023,Januari,Rp10.000
51,Bali,Kedelai Biji Kering Tingkat Petani,2023,Januari,-
52,Nusa Tenggara Barat,Kedelai Biji Kering Tingkat Petani,2023,Januari,Rp9.384
53,Nusa Tenggara Timur,Kedelai Biji Kering Tingkat Petani,2023,Januari,Rp10.000
